# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,trn_pass_road_bus,hydrogen,trn_pass_road,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_2W,electricity,trn_pass_road_LDV,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_2W,oil,trn_pass_road_LDV,refined liquids,0.017634608,0.018965345,0.019945393,0.022609997,0.023953259,0.025089864,0.026887141,0.029003795,0.032758038,0.034182709,0.035958068,0.027892239,0.029958795,0.032125547,0.034918528,0.037980788,0.04178826,0.045573814,0.052468595,0.053570758,0.056642412,0.059642048,0.063195898,0.067526271,0.076017936,0.081632079,0.084099421,0.087074009,0.091632956,0.093705774,0.093383266,0.096201296,0.097362951,0.105503928,0.111139989,0.115479756,0.136511656,0.15654159,0.171686938,0.186162221,0.200117734,0.213531559,0.217877588,0.227731301,0.249837184,0.259202438,0.279385799,0.291900985,0.29426813,0.263701894,0.285835957
India,trn_pass_road_LDV_3W,oil,trn_pass_road_LDV,refined liquids,0.02155341,0.023179866,0.024377703,0.027634441,0.029276205,0.03066539,0.032862062,0.035449083,0.040037602,0.041778867,0.04394875,0.034090514,0.036616304,0.039264557,0.042678201,0.046420963,0.05107454,0.055701329,0.064128283,0.065475371,0.069229614,0.072895837,0.077239431,0.082532109,0.092910811,0.099772541,0.102788182,0.106423789,0.111995835,0.114529279,0.114135103,0.117579362,0.118999163,0.128949245,0.135837764,0.141141924,0.16684758,0.19132861,0.209839591,0.227531603,0.244588341,0.260983016,0.26629483,0.278338257,0.305356558,0.31680298,0.341471532,0.35676787,0.359661048,0.322302314,0.349355059
India,trn_pass_road_LDV_3W,electricity,trn_pass_road_LDV,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_3W,gas,trn_pass_road_LDV,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99E-04,3.10E-04,9.43E-04,0.00229535,0.004590699,0.006302906,0.007283082,0.008374924,0.009044918,0.010372499,0.010781939,0.015074863,0.017047623,0.022357945,0.020484444,0.021725173,0.022965903,0.02435552,0.026737721,0.029827137,0.03476524,0.036700778,0.029405289,0.045100517
India,trn_pass_road_LDV_4W,electricity,trn_pass_road_LDV,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_4W,gas,trn_pass_road_LDV,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15E-04,1.80E-04,5.48E-04,0.001333231,0.002666463,0.003660981,0.004230307,0.004864493,0.005253652,0.006024765,0.006262584,0.008756087,0.009901946,0.012986395,0.01189819,0.012618855,0.013339521,0.014146666,0.015530344,0.017324802,0.020193051,0.021317289,0.017079775,0.026196196
India,trn_pass_road_LDV_4W,hydrogen,trn_pass_road_LDV,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_4W,oil,trn_pass_road_LDV,refined liquids,0.020532384,0.022081792,0.023222885,0.026325345,0.027889336,0.029212712,0.031305323,0.033769793,0.038140945,0.039799722,0.041866814,0.032475582,0.034881721,0.037404521,0.040656454,0.044221914,0.048655042,0.053062651,0.061090405,0.062373679,0.065950076,0.069442623,0.073580452,0.078622407,0.088509449,0.095046126,0.09791891,0.101382292,0.10669038,0.10910381,0.108728306,0.112009405,0.113361946,0.122840675,0.129402871,0.134455763,0.158943693,0.182265011,0.199899091,0.216752999,0.233001727,0.248619755,0.253679938,0.265152845,0.290891238,0.301795422,0.325295377,0.339867099,0.342623222,0.307034242,0.332805446
India,trn_pass_road_LDV_4W,hybrid oil,trn_pass_road_LDV,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_shipping_intl,oil,trn_shipping_intl,refined liquids,0.036764,0.00715806,0.00950222,0.00560924,0.00757666,0.00891618,0.01075802,0.00757666,0.00883246,0.00954408,0.00556738,0.00590226,0.00820456,0.008372,0.00447902,0.030400203,0.036787911,0.04524877,0.038764916,0.036763874,0.036787911,0.010198099,0.03478687,0.032617573,0.032617573,0.028014577,0.049491218,0.067716917,0.067716917,0.053589446,0.023621901,0.034306139,0.030231947,0.028158796,0.036114888,0.114924665,0.200248341,0.190098916,0.070589283,0.054048726,0.034028227,0.211635648,0.221881219,0.22522629,0.234716638,0.251833158,0.261831917,0.270644383,0.275897968,0.263357152,0.274033793
India,trn_shipping_intl,hybrid oil,trn_shipping_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_shipping_intl,hydrogen,trn_shipping_intl,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_road_truck,oil,trn_freight,refined liquids,0.4381524,0.155116576,0.163132341,0.184926003,0.195912466,0.205208705,0.219908542,0.237220546,0.267926304,0.279578614,0.294099185,0.228129183,0.245031435,0.26275319,0.28559684,0.310642904,0.341784023,0.372745876,0.429137935,0.438152,0.463275362,0.487809237,0.516875988,0.552293889,0.621746779,0.667664564,0.687844828,0.712173827,0.749461219,0.76641469,0.763776915,0.78682544,0.796326555,0.862911184,0.909008,0.944502964,1.116521792,1.280345589,1.404218609,1.522611,1.636752621,1.746463602,1.78200955,1.862602561,2.043405,2.120003372,2.285082033,2.387443095,2.406803857,2.156804184,2.337838
India,trn_freight_road_truck,electricity,trn_freight,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_road_truck,hybrid oil,trn_freight,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_road_truck,hydrogen,trn_freight,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_road_truck,gas,trn_freight,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
